25/11/2015,2002,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,,TRUE
25/11/2015,2002,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,,TRUE
25/11/2015,2002,0,0,0,TRUE,1995,FALSE,FALSE,FALSE,,TRUE
1/12/2015,2002,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
30/11/2015,2003,0,0,0,TRUE,S95,TRUE,FALSE,TRUE,12/08/2016,TRUE
4/12/2015,2003,0,0,0,TRUE,S95,FALSE,FALSE,TRUE,12/08/2016,TRUE
14/12/2015,2002,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
14/12/2015,2002,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,,TRUE
14/12/2015,2002,3,4,1,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
15/12/2015,2001,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
15/12/2015,2002,3,0,2,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
15/12/2015,2001,2,0,1,TRUE,S95,TRUE,FALSE,FALSE,,TRUE
21/12/2015,1996,0,0,0,TRUE,S95,TRUE,FALSE,FALSE,,TRUE
22/12/2015,1986,0,0,0,TRUE,88,TRUE,FALSE,TRUE,27/06/2016,TRUE
22/12/2015,2001,3,2,2,TRUE,S95,TRUE,TRUE,FALSE,,TRUE
28/12/2015,2000,4,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
29/12/2015,1999,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
28/12/2015,1987,0,0,0,TRUE,88,FALSE,FALSE,FALSE,,TRUE
24/12/2015,2002,3,0,5,TRUE,S95,TRUE,TRUE,FALSE,,TRUE
10/03/2016,2001,0,0,0,TRUE,S95,FALSE,FALSE,FALSE,,TRUE
3/05/2016,2002,0,0,0,TRUE,S95,TRUE,FALSE,TRUE,5/05/2016,TRUE
11/05/2016,2004,0,0,0,FALSE,S95,FALSE,FALSE,TRUE,5/05/2016,TRUE
